RouteID,Duration,StartLat,StartLon,EndLat,EndLon
10A,2921.0526315789475,38.795237,-77.075035,38.869439,-77.053336
10B,3580.5405405405404,38.792778,-77.049531,38.882022,-77.11128
MW1,1445.25,38.814079,-77.053507,38.862625,-77.059303
MW1v3,1080.0,38.814079,-77.053507,38.858233,-77.051245
29K,3834.0,38.83527,-77.309473,38.805954,-77.060615
29Kv1,3540.0,38.83527,-77.309473,38.805954,-77.060615
29N,3955.862068965517,38.877203,-77.270786,38.805954,-77.060615
29Nv1,3720.0,38.877203,-77.270786,38.805954,-77.060615
NH2,1810.2439024390244,38.795364,-77.075011,38.782241,-77.014096
REX,3465.773195876289,38.723386,-77.150919,38.806023,-77.060371
REXv1,2640.0,38.70549,-77.142522,38.806023,-77.060371
S80,844.5283018867924,38.766705,-77.169549,38.766742,-77.169258
S80v1,733.5849056603773,38.766742,-77.169258,38.776958,-77.177746
S80v2,536.6037735849056,38.776958,-77.177746,38.766742,-77.169258
S91,450.0,38.766742,-77.169258,38.773114,-77.173403
S91v1,270.0,38.773114,-77.173403,38.766742,-77.169258
