Lat,Lon,Name,Nearest_Metro,StopID
38.869059,-77.053842,PENTAGON TRANSIT CTR + BUS BAY U7,Pentagon,6000930
38.869236,-77.053592,PENTAGON TRANSIT CTR + BUS BAY U-9,Pentagon,6001295
38.869312,-77.053505,PENTAGON TRANSIT CTR + BUS BAY U10,Pentagon,6000788
38.868936,-77.054015,PENTAGON TRANSIT CTR + BUS BAY U6,Pentagon,6000883
38.869439,-77.053336,PENTAGON TRANSIT CTR + BUS BAY U11,Pentagon,6000938
38.8688,-77.054209,PENTAGON TRANSIT CTR + BUS BAY U5,Pentagon,6000884
38.869579,-77.053157,PENTAGON TRANSIT CTR + BUS BAY U12,Pentagon,6000877
38.868651,-77.054398,PENTAGON TRANSIT CTR + BUS BAY U4,Pentagon,6000904
38.868573,-77.054035,PENTAGON TRANSIT CTR + BUS BAY L5,Pentagon,6000792
38.868518,-77.0541,PENTAGON TRANSIT CTR + BUS BAY L4,Pentagon,6000906
38.869684,-77.053021,PENTAGON TRANSIT CTR + BUS BAY U13,Pentagon,6000800
38.862766,-77.059746,S HAYES ST + 12TH ST,Pentagon City,6001385
38.862625,-77.059303,PENTAGON CITY STATION + BUS BAY C,Pentagon City,6001402
38.8624,-77.059341,PENTAGON CITY STATION + BUS BAY B,Pentagon City,6001401
38.858111,-77.051253,CRYSTAL CITY STATION + BUS BAY D,Crystal City,6001219
38.858233,-77.051245,CRYSTAL CITY STATION + BUS BAY C,Crystal City,6000887
38.85835,-77.051231,CRYSTAL CITY STATION + BUS BAY B,Crystal City,6000888
38.814001,-77.053559,BRADDOCK ROAD STATION + BUS BAY B,Braddock Road,4000469
38.814079,-77.053507,BRADDOCK RD STA + BUS BAY A,Braddock Road,4000478
38.813552,-77.053841,BRADDOCK RD STA + BUS BAY D,Braddock Road,4000598
38.805954,-77.060615,KING STREET STA + BUS BAY B,King St-Old Town,4001090
38.806023,-77.060371,KING STREET STA - BUS BAY A,King St-Old Town,4001089
38.801162,-77.071422,EISENHOWER AVE + SWAMP FOX RD,Eisenhower Avenue,4000495
38.884761,-77.022149,D ST SW + 7TH ST SW,L'Enfant Plaza,1000667
38.884766,-77.021159,D ST SW + 7TH ST SW,L'Enfant Plaza,1003665
38.884917,-77.020995,D ST SW + 7TH ST SW,L'Enfant Plaza,1003599
38.896535,-77.071631,N MOORE ST + 19TH ST,Rosslyn,6000818
38.896718,-77.071613,N MOORE ST + 19TH ST,Rosslyn,6001027
38.896346,-77.071637,N MOORE ST + BETW 19TH & WILSON BLVD,Rosslyn,6000827
38.896931,-77.071563,BUS COLLECTION POINT I/B,Rosslyn,0
38.8961,-77.071626,N MOORE ST + ROSSLYN STATION BUS BAY E,Rosslyn,6001346
38.766742,-77.169258,FRANCONIA SPRINGFIELD METRO STATION + BUS BAY D,Franconia-Springfield,5000070
38.766705,-77.169549,FRANCONIA- SPRINGFIELD STA + BUS BAY C,Franconia-Springfield,5003450
