Name,Code,Lat,Lon
Pentagon,C07,38.869349,-77.054013
Pentagon City,C08,38.863045,-77.059507
Crystal City,C09,38.85779,-77.050589
Ronald Reagan Washington National Airport,C10,38.852985,-77.043805
Braddock Road,C12,38.814009,-77.053763
King St-Old Town,C13,38.806474,-77.061115
Eisenhower Avenue,C14,38.800313,-77.071173
Huntington,C15,38.793841,-77.075301
L'Enfant Plaza,F03,38.884775,-77.021964
Rosslyn,C05,38.896595,-77.07146
Arlington Cemetery,C06,38.884574,-77.063108
Van Dorn Street,J02,38.799193,-77.129407
Franconia-Springfield,J03,38.766129,-77.168797
